LATITUDE,LONGITUDE,NAME,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
49.234947,-123.027254,Fountain location:Aberdeen Park,plaza,Parks,spring to fall,,Aberdeen Park - drinking fountain - 2005.JPG
49.275858,-123.024141,Fountain location:Adanac Park,SW side of Field house,Parks,spring to fall,,
49.285554,-123.142392,Fountain location:Alexandra Park,west plaza gateway,Parks,spring to fall,,Alexandra Park - drinking fountain - 2003.jpg
49.26098,-123.184759,Fountain location:Almond Park,S-side of playground,Parks,spring to fall,,
49.278811,-123.106194,Fountain location:Andy Livingstone Park,by amphitheatre steps near bas,Parks,spring to fall,,
49.277951,-123.103575,Fountain location:Andy Livingstone Park,north side of fieldhouse,Parks,spring to fall,,
49.262128,-123.155318,Fountain location:Arbutus Greenway Park,S-side of playground,Parks,spring to fall,,Arbutus Greenway Park - drinking fountain - 2005.JPG
49.248679,-123.157991,Fountain location:Arbutus Village Park,S-side of playground,Parks,spring to fall,,
49.285919,-123.120939,Fountain location:Art Phillips Park (Discovery Square),NW plaza,Parks,spring to fall,,Discovery Square - drinking fountain - 2005.JPG
49.245614,-123.175342,Fountain location:Balaclava Park,W of wading pool,Parks,spring to fall,,
49.255191,-123.050071,Fountain location:Beaconsfield Park,adjacent to field house,Parks,spring to fall,,Beaconsfield Park - drinking fountain - 2005.JPG
49.215521,-123.056107,Fountain location:Bobolink Park,in front of wading pool,Parks,spring to fall,,
49.24745,-123.066226,Fountain location:Brewers Park,S-side of wading pool,Parks,spring to fall,,
49.290415,-123.050483,Fountain location:Burrard View Park,N-side of wading pool,Parks,spring to fall,,
49.2846537,-123.101821,Fountain location:CRAB Park at Portside,,Parks,,,
49.256926,-123.172514,Fountain location:Carnarvon Park,S-side of wading pool,Parks,spring to fall,,
49.237223,-123.097143,Fountain location:Cartier Park,SE corner (Prince Edward&37th),Parks,spring to fall,,
49.249585,-123.191688,Fountain location:Chaldecott Park,W-side of spray park,Parks,spring to fall,,
49.268012,-123.125901,Fountain location:Charleson Park,N of school off of seawall,Parks,spring to fall,,
49.264372,-123.083134,Fountain location:China Creek North Park,S central side along jogging c,Parks,spring to fall,,
49.261644,-123.079061,Fountain location:China Creek South Park,S-side of skate park,Parks,spring to fall,,
49.256746,-123.073107,Fountain location:Clark Park,,Parks,,,
49.270699,-123.050137,Fountain location:Clinton Park,E-side of wading pool,Parks,spring to fall,,Clinton Park - drinking fountain - 2005.JPG
49.271281,-123.051686,Fountain location:Clinton Park,N-side of B-ball diamond,Parks,spring to fall,,
49.289871,-123.125385,Fountain location:Coal Harbour Park,near playground,Parks,spring to fall,,
